asset_id,snapshot_date,material,diameter_mm,install_year,age_years,prior_break_count,break_within_horizon,horizon_years,street,snapshot_origin
34860,1988-12-10,CI,150.0,1954.0,34.0,0,0,5,SHERWOOD AVE,negative_T_minus_H_minus_4y
18700,1988-12-12,CI,150.0,1960.0,28.0,0,0,5,HICKSON DR,negative_T_minus_H_minus_4y
290,1988-12-12,CI,150.0,1958.0,30.0,1,0,5,ABERDEEN RD,negative_T_minus_H_minus_4y
5190,1988-12-14,CI,150.0,1962.0,26.0,0,0,5,CAIT AVE,negative_T_minus_H_minus_4y
5720,1988-12-15,CI,150.0,1960.0,28.0,0,0,5,CARWOOD AVE,negative_T_minus_H_minus_5y
17290,1988-12-16,CI,300.0,1957.0,31.0,0,0,5,GREENBROOK DR,negative_T_minus_H_minus_5y
36510,1988-12-16,CI,150.0,1962.0,26.0,0,0,5,STONYBROOK DR,negative_T_minus_H_minus_4y
21870,1988-12-18,CI,100.0,1937.0,51.0,0,0,5,KING ST E,negative_T_minus_H_minus_5y
36540,1988-12-18,CI,150.0,1958.0,30.0,0,0,5,STONYBROOK DR,negative_T_minus_H_minus_5y
92028,1988-12-18,CI,150.0,1957.0,31.0,0,0,5,CORNELL AVE,negative_T_minus_H_minus_5y
133896,1988-12-21,DI,150.0,1979.0,9.0,0,0,5,HILLCREST LANE,negative_T_minus_H_minus_5y
40740,1988-12-21,CI,150.0,1966.0,22.0,0,0,5,WAYNE DR,negative_T_minus_H_minus_5y
26950,1988-12-23,DI,200.0,1965.0,23.0,0,0,5,MONTCALM DR,negative_T_minus_H_minus_5y
29200,1988-12-23,CI,150.0,1952.0,36.0,0,0,5,OTTAWA ST N,negative_T_minus_H_minus_5y
30980,1988-12-23,CI,150.0,1962.0,26.0,0,0,5,PLAZA CRT,negative_T_minus_H_minus_4y
79964,1988-12-23,CI,150.0,1948.0,40.0,0,0,5,LANG CRES,negative_T_minus_H_minus_4y
1330,1988-12-24,CI,200.0,1961.0,27.0,0,0,5,AVON RD,negative_T_minus_H_minus_5y
3990,1988-12-24,CI,150.0,1965.0,23.0,0,0,5,BRADLEY DR,negative_T_minus_H_minus_5y
19090,1988-12-27,CI,300.0,1955.0,33.0,0,0,5,HIGHLAND RD E,negative_T_minus_H_minus_5y
5710,1988-12-30,CI,150.0,1958.0,30.0,0,0,5,CARWOOD AVE,negative_T_minus_H_minus_5y
32090,1988-12-31,CI,150.0,1962.0,26.0,0,0,5,RANDERSON AVE,negative_T_minus_H_minus_4y
19660,1989-01-01,CI,150.0,1956.0,33.0,0,0,5,HOFFMAN ST,negative_T_minus_H_minus_1y
29860,1989-01-01,CI,150.0,1964.0,25.0,0,0,5,OWEN AVE,negative_T_minus_H_minus_3y
33540,1989-01-01,CI,150.0,1959.0,30.0,0,0,5,ROSS AVE,negative_T_minus_H_minus_3y
41030,1989-01-01,CI,150.0,1952.0,37.0,0,0,5,WEBER ST E,negative_T_minus_H_minus_5y
96228,1989-01-01,CI,150.0,1963.0,26.0,0,0,5,HUGO CRES,negative_T_minus_H_minus_2y
31890,1989-01-02,CI,150.0,1966.0,23.0,0,0,5,QUEENSTON DR,negative_T_minus_H_minus_3y
14850,1989-01-05,CI,200.0,1962.0,27.0,0,0,5,FOREST HILL DR,negative_T_minus_H_minus_4y
37550,1989-01-05,CI,150.0,1965.0,24.0,0,0,5,TECUMSEH CRES,negative_T_minus_H_minus_3y
39010,1989-01-05,CI,200.0,1959.0,30.0,0,0,5,VANIER DR,negative_T_minus_H_minus_4y
38490,1989-01-06,CI,150.0,1966.0,23.0,0,0,5,TUPPER CRES,negative_T_minus_H_minus_5y
20260,1989-01-07,CI,150.0,1967.0,22.0,0,0,5,INDIAN RD,negative_T_minus_H_minus_3y
